##time,flux,flux_err
2.460093870163999964e+06,9.992499999999999716e-01,1.054999999999999948e-03
2.460093870879000053e+06,9.990609999999999769e-01,1.056000000000000081e-03
2.460093871592999902e+06,1.001117000000000035e+00,1.062000000000000010e-03
2.460093872307999991e+06,9.938000000000000167e-01,1.041000000000000042e-03
2.460093873021999840e+06,9.989190000000000014e-01,1.038999999999999993e-03
2.460093873736999929e+06,9.977800000000000002e-01,1.039999999999999909e-03
2.460093874450999778e+06,9.975039999999999463e-01,1.039999999999999909e-03
2.460093875165999867e+06,9.967310000000000336e-01,1.044000000000000006e-03
2.460093875880999956e+06,9.999059999999999615e-01,1.049000000000000019e-03
2.460093876596000046e+06,9.987120000000000442e-01,1.044000000000000006e-03
2.460093877309999894e+06,9.935000000000000497e-01,1.026000000000000002e-03
2.460093878024999984e+06,9.947869999999999768e-01,1.038000000000000077e-03
2.460093878738999832e+06,9.914789999999999992e-01,1.036999999999999944e-03
2.460093879453999922e+06,9.957740000000000480e-01,1.020999999999999989e-03
2.460093880169000011e+06,9.976390000000000535e-01,1.023999999999999954e-03
2.460093880884000100e+06,9.938970000000000304e-01,1.018000000000000025e-03
2.460093881597999949e+06,9.967629999999999546e-01,1.008999999999999914e-03
2.460093882313000038e+06,9.898150000000000004e-01,9.929999999999999591e-04
2.460093883028000128e+06,9.980229999999999935e-01,9.879999999999999460e-04
2.460093883741999976e+06,9.986960000000000282e-01,9.979999999999999722e-04
2.460093884457000066e+06,9.903889999999999638e-01,1.000000000000000021e-03
2.460093885172000155e+06,9.954030000000000378e-01,1.000999999999999937e-03
2.460093885886999778e+06,9.974849999999999550e-01,1.005999999999999950e-03
2.460093886601000093e+06,1.001984999999999904e+00,1.013999999999999927e-03
2.460093887316000182e+06,9.967110000000000136e-01,1.012000000000000096e-03
2.460093888030000031e+06,9.977679999999999882e-01,1.031000000000000015e-03
2.460093888745000120e+06,9.925890000000000546e-01,1.044999999999999922e-03
2.460093889458999969e+06,9.968249999999999611e-01,1.066000000000000107e-03
2.460093890174000058e+06,9.965100000000000069e-01,1.080999999999999930e-03
2.460093890889000148e+06,1.002585000000000059e+00,1.085999999999999943e-03
2.460093891602999996e+06,9.949010000000000353e-01,1.072000000000000036e-03
2.460093892318000086e+06,9.991299999999999626e-01,1.069999999999999988e-03
2.460093893033000175e+06,1.000350999999999990e+00,1.085999999999999943e-03
2.460093893747000024e+06,1.000413999999999914e+00,1.098999999999999934e-03
2.460093894462000113e+06,1.002218999999999971e+00,1.082000000000000062e-03
2.460093895177000202e+06,1.001201000000000008e+00,1.064999999999999974e-03
2.460093895891000051e+06,1.000771000000000077e+00,1.080000000000000014e-03
2.460093896606000140e+06,9.975039999999999463e-01,1.111999999999999924e-03
2.460093897319999989e+06,1.002342999999999984e+00,1.139999999999999954e-03
2.460093898035000078e+06,1.000274000000000107e+00,1.136000000000000074e-03
2.460093898750000168e+06,9.947960000000000136e-01,1.098999999999999934e-03
